id,console-name,product-name,loose-price
961401,Pokemon Ultra Prism,Abomasnow #38,$0.25
961573,Pokemon Ultra Prism,Abomasnow [Reverse Holo] #38,$1.43
961441,Pokemon Ultra Prism,Alolan Diglett #78,$0.24
961609,Pokemon Ultra Prism,Alolan Diglett [Reverse Holo] #78,$0.58
961442,Pokemon Ultra Prism,Alolan Dugtrio #79,$0.58
961610,Pokemon Ultra Prism,Alolan Dugtrio [Reverse Holo] #79,$0.66
961458,Pokemon Ultra Prism,Alolan Exeggutor #95,$0.64
961624,Pokemon Ultra Prism,Alolan Exeggutor [Reverse Holo] #95,$0.70
961391,Pokemon Ultra Prism,Alolan Sandshrew #28,$0.32
961563,Pokemon Ultra Prism,Alolan Sandshrew [Reverse Holo] #28,$0.74
961392,Pokemon Ultra Prism,Alolan Sandslash #29,$0.43
961564,Pokemon Ultra Prism,Alolan Sandslash [Reverse Holo] #29,$1.12
961393,Pokemon Ultra Prism,Alolan Vulpix #30,$2.99
961565,Pokemon Ultra Prism,Alolan Vulpix [Reverse Holo] #30,$16.04
961481,Pokemon Ultra Prism,Ancient Crystal #118,$0.13
961644,Pokemon Ultra Prism,Ancient Crystal [Reverse Holo] #118,$0.26
961380,Pokemon Ultra Prism,Araquanid #17,$0.25
961552,Pokemon Ultra Prism,Araquanid [Reverse Holo] #17,$0.47
961448,Pokemon Ultra Prism,Bastiodon #85,$1.02
961616,Pokemon Ultra Prism,Bastiodon [Reverse Holo] #85,$0.77
2244959,Pokemon Ultra Prism,Booster Box,$1536.16
2244960,Pokemon Ultra Prism,Booster Pack,$40.00
961450,Pokemon Ultra Prism,Bronzong #87,$0.23
961618,Pokemon Ultra Prism,Bronzong [Reverse Holo] #87,$0.29
961449,Pokemon Ultra Prism,Bronzor #86,$0.29
961617,Pokemon Ultra Prism,Bronzor [Reverse Holo] #86,$0.29
961398,Pokemon Ultra Prism,Buizel #35,$0.25
961570,Pokemon Ultra Prism,Buizel [Reverse Holo] #35,$0.60
961469,Pokemon Ultra Prism,Buneary #106,$0.21
961633,Pokemon Ultra Prism,Buneary [Reverse Holo] #106,$1.10
961375,Pokemon Ultra Prism,Carnivine #12,$0.29
961547,Pokemon Ultra Prism,Carnivine [Reverse Holo] #12,$0.31
961507,Pokemon Ultra Prism,Celesteela GX #144,$8.43
961525,Pokemon Ultra Prism,Celesteela GX #162,$16.74
9042117,Pokemon Ultra Prism,Charmander Sidekick Collection,$156.02
961374,Pokemon Ultra Prism,Cherrim #11,$0.91
961546,Pokemon Ultra Prism,Cherrim [Reverse Holo] #11,$0.80
961373,Pokemon Ultra Prism,Cherubi #10,$0.92
961545,Pokemon Ultra Prism,Cherubi [Reverse Holo] #10,$5.48
961383,Pokemon Ultra Prism,Chimchar #20,$0.22
961384,Pokemon Ultra Prism,Chimchar #21,$0.50
961555,Pokemon Ultra Prism,Chimchar [Reverse Holo] #20,$2.21
961556,Pokemon Ultra Prism,Chimchar [Reverse Holo] #21,$0.66
961424,Pokemon Ultra Prism,Cosmoem #61,$0.22
961594,Pokemon Ultra Prism,Cosmoem [Reverse Holo] #61,$0.64
961423,Pokemon Ultra Prism,Cosmog #60,$0.52
961595,Pokemon Ultra Prism,Cosmog [Reverse Holo] #60,$0.60
961427,Pokemon Ultra Prism,Cranidos #64,$0.19
961596,Pokemon Ultra Prism,Cranidos [Reverse Holo] #64,$1.33
961422,Pokemon Ultra Prism,Cresselia #59,$0.99
961593,Pokemon Ultra Prism,Cresselia [Reverse Holo] #59,$0.96
961419,Pokemon Ultra Prism,Croagunk #56,$0.20
961591,Pokemon Ultra Prism,Croagunk [Reverse Holo] #56,$0.30
961529,Pokemon Ultra Prism,Crushing Hammer #166,$30.46
961482,Pokemon Ultra Prism,Cynthia #119,$1.47
961511,Pokemon Ultra Prism,Cynthia #148,$169.01
5608613,Pokemon Ultra Prism,Cynthia [Regional Championship Staff] #119,$66.03
8306083,Pokemon Ultra Prism,Cynthia [Regional Championship Staff] #119A,$139.35
4286164,Pokemon Ultra Prism,Cynthia [Regional Championship] #119,$14.99
8306080,Pokemon Ultra Prism,Cynthia [Regional Championship] #119A,$22.76
961645,Pokemon Ultra Prism,Cynthia [Reverse Holo] #119,$3.07
961483,Pokemon Ultra Prism,Cyrus Prism Star #120,$1.51
961440,Pokemon Ultra Prism,Darkrai Prism Star #77,$7.23
961506,Pokemon Ultra Prism,Dawn Wings Necrozma GX #143,$14.42
961524,Pokemon Ultra Prism,Dawn Wings Necrozma GX #161,$22.00
961426,Pokemon Ultra Prism,Dawn Wings Necrozma GX #63,$4.91
6740130,Pokemon Ultra Prism,Dawn Wings Necrozma GX [Jumbo] #63,$9.95
961379,Pokemon Ultra Prism,Dewpider #16,$0.23
961551,Pokemon Ultra Prism,Dewpider [Reverse Holo] #16,$0.37
961463,Pokemon Ultra Prism,Dialga GX #100,$6.57
961509,Pokemon Ultra Prism,Dialga GX #146,$18.39
961527,Pokemon Ultra Prism,Dialga GX #164,$36.00
961480,Pokemon Ultra Prism,Drampa #117,$0.87
961643,Pokemon Ultra Prism,Drampa [Reverse Holo] #117,$0.93
961418,Pokemon Ultra Prism,Drapion #55,$0.39
961590,Pokemon Ultra Prism,Drapion [Reverse Holo] #55,$0.74
961415,Pokemon Ultra Prism,Drifblim #52,$0.34
961587,Pokemon Ultra Prism,Drifblim [Reverse Holo] #52,$0.32
961414,Pokemon Ultra Prism,Drifloon #51,$0.99
961586,Pokemon Ultra Prism,Drifloon [Reverse Holo] #51,$1.51
961508,Pokemon Ultra Prism,Dusk Mane Necrozma GX #145,$16.01
961526,Pokemon Ultra Prism,Dusk Mane Necrozma GX #163,$22.02
961453,Pokemon Ultra Prism,Dusk Mane Necrozma GX #90,$3.96
10809643,Pokemon Ultra Prism,Dusk Mane Necrozma GX [Jumbo] #90,$5.50
10026498,Pokemon Ultra Prism,Dusk Mane Necrozma Prism Tin,$168.50
961467,Pokemon Ultra Prism,Eevee #104,$1.57
961468,Pokemon Ultra Prism,Eevee #105,$2.06
961631,Pokemon Ultra Prism,Eevee [Reverse Holo] #104,$4.49
961632,Pokemon Ultra Prism,Eevee [Reverse Holo] #105,$9.04
961406,Pokemon Ultra Prism,Electabuzz #43,$0.16
961578,Pokemon Ultra Prism,Electabuzz [Reverse Holo] #43,$0.49
961407,Pokemon Ultra Prism,Electivire #44,$0.43
