id,console-name,product-name,loose-price
5927172,Pokemon Unbroken Bonds,3 Booster Pack Box,$195.65
963281,Pokemon Unbroken Bonds,Aggron #125,$0.62
963505,Pokemon Unbroken Bonds,Aggron [Reverse Holo] #125,$1.27
963277,Pokemon Unbroken Bonds,Alolan Diglett #121,$0.23
963501,Pokemon Unbroken Bonds,Alolan Diglett [Reverse Holo] #121,$0.50
963278,Pokemon Unbroken Bonds,Alolan Dugtrio #122,$0.58
963502,Pokemon Unbroken Bonds,Alolan Dugtrio [Reverse Holo] #122,$0.84
963219,Pokemon Unbroken Bonds,Arbok #63,$0.40
963447,Pokemon Unbroken Bonds,Arbok [Reverse Holo] #63,$0.51
963178,Pokemon Unbroken Bonds,Arcanine #22,$3.99
963409,Pokemon Unbroken Bonds,Arcanine [Reverse Holo] #22,$3.56
963298,Pokemon Unbroken Bonds,Aromatisse #142,$0.98
963520,Pokemon Unbroken Bonds,Aromatisse [Reverse Holo] #142,$1.99
963279,Pokemon Unbroken Bonds,Aron #123,$0.24
963503,Pokemon Unbroken Bonds,Aron [Reverse Holo] #123,$0.34
963320,Pokemon Unbroken Bonds,Beast Bringer #164,$0.10
963385,Pokemon Unbroken Bonds,Beast Bringer #229,$2.98
963540,Pokemon Unbroken Bonds,Beast Bringer [Reverse Holo] #164,$0.29
963169,Pokemon Unbroken Bonds,Bellsprout #13,$0.20
963401,Pokemon Unbroken Bonds,Bellsprout [Reverse Holo] #13,$0.26
963188,Pokemon Unbroken Bonds,Blacephalon #32,$4.07
963419,Pokemon Unbroken Bonds,Blacephalon [Reverse Holo] #32,$4.60
963374,Pokemon Unbroken Bonds,Blastoise GX #218,$80.47
963191,Pokemon Unbroken Bonds,Blastoise GX #35,$12.00
6948761,Pokemon Unbroken Bonds,Blister Pack,$31.75
2244949,Pokemon Unbroken Bonds,Booster Box,$2231.65
2244950,Pokemon Unbroken Bonds,Booster Pack,$69.00
963160,Pokemon Unbroken Bonds,Butterfree #4,$0.81
963393,Pokemon Unbroken Bonds,Butterfree [Reverse Holo] #4,$0.83
963266,Pokemon Unbroken Bonds,Carvanha #110,$0.23
963491,Pokemon Unbroken Bonds,Carvanha [Reverse Holo] #110,$0.25
963158,Pokemon Unbroken Bonds,Caterpie #2,$0.24
963391,Pokemon Unbroken Bonds,Caterpie [Reverse Holo] #2,$0.72
963319,Pokemon Unbroken Bonds,Celesteela GX #163,$2.69
963364,Pokemon Unbroken Bonds,Celesteela GX #208,$4.87
963384,Pokemon Unbroken Bonds,Celesteela GX #228,$8.82
963214,Pokemon Unbroken Bonds,Charjabug #58,$0.16
963443,Pokemon Unbroken Bonds,Charjabug [Reverse Holo] #58,$0.87
963318,Pokemon Unbroken Bonds,Chatot #162,$0.20
963539,Pokemon Unbroken Bonds,Chatot [Reverse Holo] #162,$0.35
963321,Pokemon Unbroken Bonds,Chip-Chip Ice Axe #165,$0.22
963541,Pokemon Unbroken Bonds,Chip-Chip Ice Axe [Reverse Holo] #165,$0.43
963289,Pokemon Unbroken Bonds,Clefable #133,$0.90
963512,Pokemon Unbroken Bonds,Clefable [Reverse Holo] #133,$0.89
963288,Pokemon Unbroken Bonds,Clefairy #132,$0.50
963511,Pokemon Unbroken Bonds,Clefairy [Reverse Holo] #132,$1.25
963287,Pokemon Unbroken Bonds,Cleffa #131,$4.53
963510,Pokemon Unbroken Bonds,Cleffa [Reverse Holo] #131,$26.04
963295,Pokemon Unbroken Bonds,Cottonee #139,$0.30
963518,Pokemon Unbroken Bonds,Cottonee [Reverse Holo] #139,$0.40
963261,Pokemon Unbroken Bonds,Crabominable #105,$0.45
963488,Pokemon Unbroken Bonds,Crabominable [Reverse Holo] #105,$0.98
963260,Pokemon Unbroken Bonds,Crabrawler #104,$0.17
963487,Pokemon Unbroken Bonds,Crabrawler [Reverse Holo] #104,$0.24
963222,Pokemon Unbroken Bonds,Crobat #66,$0.89
963450,Pokemon Unbroken Bonds,Crobat [Reverse Holo] #66,$0.66
963246,Pokemon Unbroken Bonds,Cubone #90,$0.94
963473,Pokemon Unbroken Bonds,Cubone [Reverse Holo] #90,$0.63
963180,Pokemon Unbroken Bonds,Darmanitan #24,$0.29
963411,Pokemon Unbroken Bonds,Darmanitan [Reverse Holo] #24,$0.96
963179,Pokemon Unbroken Bonds,Darumaka #23,$0.45
963410,Pokemon Unbroken Bonds,Darumaka [Reverse Holo] #23,$0.95
963351,Pokemon Unbroken Bonds,Dedenne GX #195,$16.24
2250657,Pokemon Unbroken Bonds,Dedenne GX #195a,$19.90
963375,Pokemon Unbroken Bonds,Dedenne GX #219,$35.14
963213,Pokemon Unbroken Bonds,Dedenne GX #57,$7.58
963322,Pokemon Unbroken Bonds,Devolution Spray Z #166,$0.13
963542,Pokemon Unbroken Bonds,Devolution Spray Z [Reverse Holo] #166,$0.50
963201,Pokemon Unbroken Bonds,Dewgong #45,$0.38
963431,Pokemon Unbroken Bonds,Dewgong [Reverse Holo] #45,$0.94
963241,Pokemon Unbroken Bonds,Diglett #85,$0.25
963468,Pokemon Unbroken Bonds,Diglett [Reverse Holo] #85,$1.37
963307,Pokemon Unbroken Bonds,Dodrio #151,$0.28
963528,Pokemon Unbroken Bonds,Dodrio [Reverse Holo] #151,$0.56
963306,Pokemon Unbroken Bonds,Doduo #150,$0.20
963527,Pokemon Unbroken Bonds,Doduo [Reverse Holo] #150,$0.28
963227,Pokemon Unbroken Bonds,Drowzee #71,$0.20
963455,Pokemon Unbroken Bonds,Drowzee [Reverse Holo] #71,$0.24
963242,Pokemon Unbroken Bonds,Dugtrio #86,$0.45
963469,Pokemon Unbroken Bonds,Dugtrio [Reverse Holo] #86,$0.99
963323,Pokemon Unbroken Bonds,Dusk Stone #167,$0.23
963543,Pokemon Unbroken Bonds,Dusk Stone [Reverse Holo] #167,$0.75
963324,Pokemon Unbroken Bonds,Dust Island #168,$0.20
963544,Pokemon Unbroken Bonds,Dust Island [Reverse Holo] #168,$0.47
963218,Pokemon Unbroken Bonds,Ekans #62,$0.25
963446,Pokemon Unbroken Bonds,Ekans [Reverse Holo] #62,$0.39
963325,Pokemon Unbroken Bonds,Electromagnetic Radar #169,$0.12
963386,Pokemon Unbroken Bonds,Electromagnetic Radar #230,$3.62
963545,Pokemon Unbroken Bonds,Electromagnetic Radar [Reverse Holo] #169,$0.28
5837163,Pokemon Unbroken Bonds,Elite Trainer Box,$1635.91
963326,Pokemon Unbroken Bonds,Energy Spinner #170,$0.11
963546,Pokemon Unbroken Bonds,Energy Spinner [Reverse Holo] #170,$1.09
963235,Pokemon Unbroken Bonds,Espurr #79,$0.56
963463,Pokemon Unbroken Bonds,Espurr [Reverse Holo] #79,$1.25
963327,Pokemon Unbroken Bonds,Fairy Charm Ability #171,$0.19
963547,Pokemon Unbroken Bonds,Fairy Charm Ability [Reverse Holo] #171,$0.45
963328,Pokemon Unbroken Bonds,Fairy Charm L #172,$0.20
963548,Pokemon Unbroken Bonds,Fairy Charm L [Reverse Holo] #172,$0.30
963302,Pokemon Unbroken Bonds,Fearow #146,$0.20
963524,Pokemon Unbroken Bonds,Fearow [Reverse Holo] #146,$0.45
963329,Pokemon Unbroken Bonds,Fire Crystal #173,$0.58
963387,Pokemon Unbroken Bonds,Fire Crystal #231,$8.67
963549,Pokemon Unbroken Bonds,Fire Crystal [Reverse Holo] #173,$1.31
963207,Pokemon Unbroken Bonds,Froakie #51,$0.28
963437,Pokemon Unbroken Bonds,Froakie [Reverse Holo] #51,$0.39
963208,Pokemon Unbroken Bonds,Frogadier #52,$0.25
963438,Pokemon Unbroken Bonds,Frogadier [Reverse Holo] #52,$0.87
963286,Pokemon Unbroken Bonds,Gardevoir & Sylveon GX #130,$50.00
963360,Pokemon Unbroken Bonds,Gardevoir & Sylveon GX #204,$72.65
963361,Pokemon Unbroken Bonds,Gardevoir & Sylveon GX #205,$475.00
963381,Pokemon Unbroken Bonds,Gardevoir & Sylveon GX #225,$105.76
10809638,Pokemon Unbroken Bonds,Gardevoir & Sylveon GX [Jumbo] #130,
963223,Pokemon Unbroken Bonds,Gastly #67,$0.58
963224,Pokemon Unbroken Bonds,Gastly #68,$0.50
963451,Pokemon Unbroken Bonds,Gastly [Reverse Holo] #67,$0.98
963452,Pokemon Unbroken Bonds,Gastly [Reverse Holo] #68,$1.03
963283,Pokemon Unbroken Bonds,Genesect #127,$0.35
963507,Pokemon Unbroken Bonds,Genesect [Reverse Holo] #127,$1.17
963226,Pokemon Unbroken Bonds,Gengar #70,$14.15
963454,Pokemon Unbroken Bonds,Gengar [Reverse Holo] #70,$28.30
963243,Pokemon Unbroken Bonds,Geodude #87,$0.20
963470,Pokemon Unbroken Bonds,Geodude [Reverse Holo] #87,$0.31
963330,Pokemon Unbroken Bonds,Giovanni's Exile #174,$0.27
963550,Pokemon Unbroken Bonds,Giovanni's Exile [Reverse Holo] #174,$0.88
963315,Pokemon Unbroken Bonds,Glameow #159,$0.20
963536,Pokemon Unbroken Bonds,Glameow [Reverse Holo] #159,$0.44
963254,Pokemon Unbroken Bonds,Gligar #98,$0.16
963481,Pokemon Unbroken Bonds,Gligar [Reverse Holo] #98,$0.26
963255,Pokemon Unbroken Bonds,Gliscor #99,$0.25
963482,Pokemon Unbroken Bonds,Gliscor [Reverse Holo] #99,$0.36
963162,Pokemon Unbroken Bonds,Gloom #7,$0.30
963396,Pokemon Unbroken Bonds,Gloom [Reverse Holo] #7,$1.28
963221,Pokemon Unbroken Bonds,Golbat #65,$0.25
963449,Pokemon Unbroken Bonds,Golbat [Reverse Holo] #65,$0.34
963204,Pokemon Unbroken Bonds,Goldeen #48,$0.21
963434,Pokemon Unbroken Bonds,Goldeen [Reverse Holo] #48,$0.40
963245,Pokemon Unbroken Bonds,Golem #89,$0.52
963472,Pokemon Unbroken Bonds,Golem [Reverse Holo] #89,$0.50
963244,Pokemon Unbroken Bonds,Graveler #88,$0.21
963471,Pokemon Unbroken Bonds,Graveler [Reverse Holo] #88,$0.82
963331,Pokemon Unbroken Bonds,Green's Exploration #175,$0.30
963365,Pokemon Unbroken Bonds,Green's Exploration #209,$98.66
963551,Pokemon Unbroken Bonds,Green's Exploration [Reverse Holo] #175,$1.45
963273,Pokemon Unbroken Bonds,Greninja #117,$19.50
963263,Pokemon Unbroken Bonds,Greninja & Zoroark GX #107,$37.76
963356,Pokemon Unbroken Bonds,Greninja & Zoroark GX #200,$49.99
963357,Pokemon Unbroken Bonds,Greninja & Zoroark GX #201,$238.89
963378,Pokemon Unbroken Bonds,Greninja & Zoroark GX #222,$70.00
963498,Pokemon Unbroken Bonds,Greninja [Reverse Holo] #117,$18.00
963177,Pokemon Unbroken Bonds,Growlithe #21,$0.39
963408,Pokemon Unbroken Bonds,Growlithe [Reverse Holo] #21,$0.52
963174,Pokemon Unbroken Bonds,Grubbin #18,$0.50
963406,Pokemon Unbroken Bonds,Grubbin [Reverse Holo] #18,$0.50
963317,Pokemon Unbroken Bonds,Happiny #161,$1.61
963538,Pokemon Unbroken Bonds,Happiny [Reverse Holo] #161,$3.03
963225,Pokemon Unbroken Bonds,Haunter #69,$0.69
