id,console-name,product-name,loose-price
925978,Pokemon Undaunted,Alph Lithograph #THREE,$70.00
925929,Pokemon Undaunted,Aron #42,$0.99
926020,Pokemon Undaunted,Aron [Reverse Holo] #42,$2.02
925930,Pokemon Undaunted,Beldum #43,$0.49
926021,Pokemon Undaunted,Beldum [Reverse Holo] #43,$2.00
925888,Pokemon Undaunted,Bellossom #1,$5.15
925979,Pokemon Undaunted,Bellossom [Reverse Holo] #1,$3.00
5972116,Pokemon Undaunted,Blister Pack,$192.50
5861292,Pokemon Undaunted,Booster Box,$8543.40
4126389,Pokemon Undaunted,Booster Pack,$292.36
925958,Pokemon Undaunted,Burned Tower #71,$2.65
926049,Pokemon Undaunted,Burned Tower [Reverse Holo] #71,$19.99
925931,Pokemon Undaunted,Combee #44,$0.89
926022,Pokemon Undaunted,Combee [Reverse Holo] #44,$2.60
925966,Pokemon Undaunted,Darkness Energy #79,$1.55
8597950,Pokemon Undaunted,Darkness Energy [League] #79,$3.50
926057,Pokemon Undaunted,Darkness Energy [Reverse Holo] #79,$2.81
925959,Pokemon Undaunted,Defender #72,$0.99
926050,Pokemon Undaunted,Defender [Reverse Holo] #72,$1.62
925898,Pokemon Undaunted,Dodrio #11,$1.66
925989,Pokemon Undaunted,Dodrio [Reverse Holo] #11,$2.50
925932,Pokemon Undaunted,Doduo #45,$0.50
926023,Pokemon Undaunted,Doduo [Reverse Holo] #45,$1.94
925899,Pokemon Undaunted,Drifblim #12,$1.05
925990,Pokemon Undaunted,Drifblim [Reverse Holo] #12,$3.27
925933,Pokemon Undaunted,Drifloon #46,$0.39
926024,Pokemon Undaunted,Drifloon [Reverse Holo] #46,$1.14
925934,Pokemon Undaunted,Eevee #47,$2.44
925935,Pokemon Undaunted,Eevee #48,$2.06
926025,Pokemon Undaunted,Eevee [Reverse Holo] #47,$13.68
926026,Pokemon Undaunted,Eevee [Reverse Holo] #48,$13.50
925960,Pokemon Undaunted,Energy Exchanger #73,$0.29
926051,Pokemon Undaunted,Energy Exchanger [Reverse Holo] #73,$2.30
4998509,Pokemon Undaunted,Espeon #2,$9.82
925968,Pokemon Undaunted,Espeon #81,$90.00
925889,Pokemon Undaunted,Espeon [Cracked Ice Holo] #2,$25.03
4998462,Pokemon Undaunted,Espeon [Holo] #2,$18.75
925980,Pokemon Undaunted,Espeon [Reverse Holo] #2,$17.51
925913,Pokemon Undaunted,Flareon #26,$4.45
926004,Pokemon Undaunted,Flareon [Reverse Holo] #26,$22.00
925961,Pokemon Undaunted,Flower Shop Lady #74,$3.63
926052,Pokemon Undaunted,Flower Shop Lady [Reverse Holo] #74,$5.75
925900,Pokemon Undaunted,Forretress #13,$0.92
925890,Pokemon Undaunted,Forretress #3,$4.30
925991,Pokemon Undaunted,Forretress [Reverse Holo] #13,$3.04
925981,Pokemon Undaunted,Forretress [Reverse Holo] #3,$4.08
925936,Pokemon Undaunted,Gligar #49,$0.34
