id,console-name,product-name,loose-price
963608,Pokemon Unified Minds,Abomasnow #42,$0.29
963863,Pokemon Unified Minds,Abomasnow [Reverse Holo] #42,$0.97
963661,Pokemon Unified Minds,Aegislash #95,$0.97
963910,Pokemon Unified Minds,Aegislash [Reverse Holo] #95,$0.83
963672,Pokemon Unified Minds,Aerodactyl GX #106,$3.30
963790,Pokemon Unified Minds,Aerodactyl GX #224,$7.18
963810,Pokemon Unified Minds,Aerodactyl GX #244,$17.87
963693,Pokemon Unified Minds,Alolan Grimer #127,$0.36
963939,Pokemon Unified Minds,Alolan Grimer [Reverse Holo] #127,$1.02
963641,Pokemon Unified Minds,Alolan Marowak #75,$0.86
963892,Pokemon Unified Minds,Alolan Marowak [Reverse Holo] #75,$1.08
963623,Pokemon Unified Minds,Alolan Raichu #57,$4.91
963876,Pokemon Unified Minds,Alolan Raichu [Reverse Holo] #57,$6.02
963580,Pokemon Unified Minds,Amoonguss #14,$0.32
963837,Pokemon Unified Minds,Amoonguss [Reverse Holo] #14,$0.35
963615,Pokemon Unified Minds,Araquanid #49,$0.25
963869,Pokemon Unified Minds,Araquanid [Reverse Holo] #49,$0.62
963686,Pokemon Unified Minds,Archen #120,$0.23
963934,Pokemon Unified Minds,Archen [Reverse Holo] #120,$1.61
963687,Pokemon Unified Minds,Archeops #121,$0.50
963935,Pokemon Unified Minds,Archeops [Reverse Holo] #121,$0.56
963743,Pokemon Unified Minds,Audino #177,$0.25
963984,Pokemon Unified Minds,Audino [Reverse Holo] #177,$1.07
963720,Pokemon Unified Minds,Axew #154,$0.23
963962,Pokemon Unified Minds,Axew [Reverse Holo] #154,$0.33
963651,Pokemon Unified Minds,Azelf #85,$0.21
963900,Pokemon Unified Minds,Azelf [Reverse Holo] #85,$0.72
963609,Pokemon Unified Minds,Basculin #43,$0.20
963864,Pokemon Unified Minds,Basculin [Reverse Holo] #43,$0.45
963657,Pokemon Unified Minds,Beheeyem #91,$0.31
963906,Pokemon Unified Minds,Beheeyem [Reverse Holo] #91,$0.32
963738,Pokemon Unified Minds,Bibarel #172,$0.23
963979,Pokemon Unified Minds,Bibarel [Reverse Holo] #172,$0.60
963737,Pokemon Unified Minds,Bidoof #171,$0.25
963978,Pokemon Unified Minds,Bidoof [Reverse Holo] #171,$0.47
2411278,Pokemon Unified Minds,Blaine's Quiz Show #186,$0.39
9983351,Pokemon Unified Minds,Blaine's Quiz Show [Reverse Holo] #186,$2.67
963753,Pokemon Unified Minds,Blizzard Town #187,$0.25
963994,Pokemon Unified Minds,Blizzard Town [Reverse Holo] #187,$0.63
2411280,Pokemon Unified Minds,Blue's Tactics #188,$0.25
2572275,Pokemon Unified Minds,Blue's Tactics #231,$46.00
5387246,Pokemon Unified Minds,Blue's Tactics [Reverse Holo] #188,$2.48
2244947,Pokemon Unified Minds,Booster Box,$2499.99
2244948,Pokemon Unified Minds,Booster Pack,$59.06
963583,Pokemon Unified Minds,Bounsweet #17,$0.30
963840,Pokemon Unified Minds,Bounsweet [Reverse Holo] #17,$0.87
963674,Pokemon Unified Minds,Breloom #108,$0.20
963922,Pokemon Unified Minds,Breloom [Reverse Holo] #108,$0.50
963755,Pokemon Unified Minds,Bug Catcher #189,$0.16
963996,Pokemon Unified Minds,Bug Catcher [Reverse Holo] #189,$0.47
10619370,Pokemon Unified Minds,Build & Battle Box [Prerelease Kit],$348.24
963590,Pokemon Unified Minds,Camerupt #24,$0.27
963847,Pokemon Unified Minds,Camerupt [Reverse Holo] #24,$0.39
963611,Pokemon Unified Minds,Carracosta #45,$0.20
963866,Pokemon Unified Minds,Carracosta [Reverse Holo] #45,$0.99
963570,Pokemon Unified Minds,Celebi #4,$2.73
963826,Pokemon Unified Minds,Celebi [Reverse Holo] #4,$2.37
963596,Pokemon Unified Minds,Chandelure #30,$0.86
963852,Pokemon Unified Minds,Chandelure [Reverse Holo] #30,$0.81
963756,Pokemon Unified Minds,Channeler #190,$0.26
963798,Pokemon Unified Minds,Channeler #232,$15.00
963997,Pokemon Unified Minds,Channeler [Reverse Holo] #190,$0.99
963757,Pokemon Unified Minds,Cherish Ball #191,$0.29
963816,Pokemon Unified Minds,Cherish Ball #250,$12.01
10792617,Pokemon Unified Minds,Cherish Ball [League Cup Staff] #191A,$24.91
963998,Pokemon Unified Minds,Cherish Ball [Reverse Holo] #191,$0.87
963758,Pokemon Unified Minds,Coach Trainer #192,$0.41
963799,Pokemon Unified Minds,Coach Trainer #233,$14.00
