id,console-name,product-name,loose-price
1287385,Pokemon Unleashed,Aipom #43,$0.40
1287481,Pokemon Unleashed,Aipom [Reverse Holo] #43,$1.47
9569141,Pokemon Unleashed,Aipom [San Diego Comic Con] #43,$40.35
1287438,Pokemon Unleashed,Alph Lithograph #TWO,$73.36
1287354,Pokemon Unleashed,Beedrill #12,$1.46
1287450,Pokemon Unleashed,Beedrill [Reverse Holo] #12,$4.56
1287386,Pokemon Unleashed,Beldum #44,$0.34
1287482,Pokemon Unleashed,Beldum [Reverse Holo] #44,$3.82
1287355,Pokemon Unleashed,Blastoise #13,$8.00
6206434,Pokemon Unleashed,Blastoise [Cracked Ice] #13,$13.99
3923236,Pokemon Unleashed,Blastoise [Pre-Release] #13,$57.99
5700097,Pokemon Unleashed,Blastoise [Prerelease Staff] #13,$322.00
1287451,Pokemon Unleashed,Blastoise [Reverse Holo] #13,$29.33
2245019,Pokemon Unleashed,Booster Box,$3850.64
2245020,Pokemon Unleashed,Booster Pack,$277.93
1287387,Pokemon Unleashed,Buizel #45,$0.37
1287483,Pokemon Unleashed,Buizel [Reverse Holo] #45,$3.79
1287388,Pokemon Unleashed,Carnivine #46,$0.35
1287484,Pokemon Unleashed,Carnivine [Reverse Holo] #46,$1.46
1287413,Pokemon Unleashed,Cheerleader's Cheer #71,$0.74
1287509,Pokemon Unleashed,Cheerleader's Cheer [Reverse Holo] #71,$1.94
1287370,Pokemon Unleashed,Cherrim #28,$0.58
1287466,Pokemon Unleashed,Cherrim [Reverse Holo] #28,$2.52
1287389,Pokemon Unleashed,Cherubi #47,$0.47
1287485,Pokemon Unleashed,Cherubi [Reverse Holo] #47,$2.58
1287390,Pokemon Unleashed,Chinchou #48,$0.40
1287486,Pokemon Unleashed,Chinchou [Reverse Holo] #48,$3.62
1287356,Pokemon Unleashed,Crobat #14,$2.49
1287426,Pokemon Unleashed,Crobat #84,$29.99
7682232,Pokemon Unleashed,Crobat [Crosshatch League] #14,$4.12
1287452,Pokemon Unleashed,Crobat [Reverse Holo] #14,$5.00
1287414,Pokemon Unleashed,Dual Ball #72,$0.99
1287510,Pokemon Unleashed,Dual Ball [Reverse Holo] #72,$3.95
1287371,Pokemon Unleashed,Dunsparce #29,$0.99
1287467,Pokemon Unleashed,Dunsparce [Reverse Holo] #29,$3.34
1287415,Pokemon Unleashed,Emcee's Chatter #73,$0.62
1287511,Pokemon Unleashed,Emcee's Chatter [Reverse Holo] #73,$1.79
1287416,Pokemon Unleashed,Energy Returner #74,$0.49
1287512,Pokemon Unleashed,Energy Returner [Reverse Holo] #74,$2.23
1287417,Pokemon Unleashed,Engineer's Adjustments #75,$1.77
1287513,Pokemon Unleashed,Engineer's Adjustments [Reverse Holo] #75,$1.60
1287432,Pokemon Unleashed,Entei & Raikou [Legend] #90,$65.02
1287433,Pokemon Unleashed,Entei & Raikou [Legend] #91,$65.00
1287357,Pokemon Unleashed,Fearow #15,$0.93
1287453,Pokemon Unleashed,Fearow [Reverse Holo] #15,$2.05
1287358,Pokemon Unleashed,Floatzel #16,$1.00
1287454,Pokemon Unleashed,Floatzel [Reverse Holo] #16,$2.50
1287372,Pokemon Unleashed,Golbat #30,$1.42
1287468,Pokemon Unleashed,Golbat [Reverse Holo] #30,$2.84
1287418,Pokemon Unleashed,Good Rod #76,$0.49
1287514,Pokemon Unleashed,Good Rod [Reverse Holo] #76,$0.99
1287373,Pokemon Unleashed,Grotle #31,$1.16
1287469,Pokemon Unleashed,Grotle [Reverse Holo] #31,$2.91
1287391,Pokemon Unleashed,Horsea #49,$0.44
1287487,Pokemon Unleashed,Horsea [Reverse Holo] #49,$3.00
1287419,Pokemon Unleashed,Interviewer's Questions #77,$1.00
1287515,Pokemon Unleashed,Interviewer's Questions [Reverse Holo] #77,$4.32
1287343,Pokemon Unleashed,Jirachi #1,$11.83
1287439,Pokemon Unleashed,Jirachi [Reverse Holo] #1,$14.99
1287420,Pokemon Unleashed,Judge #78,$5.39
6469322,Pokemon Unleashed,Judge [League Promo] #78,$58.80
1287516,Pokemon Unleashed,Judge [Reverse Holo] #78,$10.99
1287374,Pokemon Unleashed,Kakuna #32,$0.79
1287470,Pokemon Unleashed,Kakuna [Reverse Holo] #32,$2.99
1287359,Pokemon Unleashed,Kingdra #17,$3.82
1287427,Pokemon Unleashed,Kingdra #85,$33.97
1287455,Pokemon Unleashed,Kingdra [Reverse Holo] #17,$5.46
1287360,Pokemon Unleashed,Lanturn #18,$0.67
1287428,Pokemon Unleashed,Lanturn #86,$16.05
1287456,Pokemon Unleashed,Lanturn [Reverse Holo] #18,$4.00
1287392,Pokemon Unleashed,Larvitar #50,$0.87
1287393,Pokemon Unleashed,Larvitar #51,$1.00
1287488,Pokemon Unleashed,Larvitar [Reverse Holo] #50,$3.95
1287489,Pokemon Unleashed,Larvitar [Reverse Holo] #51,$4.01
1287421,Pokemon Unleashed,Life Herb #79,$0.24
1287517,Pokemon Unleashed,Life Herb [Reverse Holo] #79,$2.39
1287361,Pokemon Unleashed,Lucario #19,$3.74
1287457,Pokemon Unleashed,Lucario [Reverse Holo] #19,$13.99
1287394,Pokemon Unleashed,Magmar #52,$0.44
1287490,Pokemon Unleashed,Magmar [Reverse Holo] #52,$5.06
1287344,Pokemon Unleashed,Magmortar #2,$5.12
6736425,Pokemon Unleashed,Magmortar [Cracked Ice] #2,$3.80
1287440,Pokemon Unleashed,Magmortar [Reverse Holo] #2,$4.81
1287345,Pokemon Unleashed,Manaphy #3,$5.34
1287441,Pokemon Unleashed,Manaphy [Reverse Holo] #3,$4.70
1287395,Pokemon Unleashed,Mankey #53,$0.50
1287491,Pokemon Unleashed,Mankey [Reverse Holo] #53,$4.38
1287346,Pokemon Unleashed,Metagross #4,$7.00
1287442,Pokemon Unleashed,Metagross [Reverse Holo] #4,$6.47
1287375,Pokemon Unleashed,Metang #33,$0.71
1287471,Pokemon Unleashed,Metang [Reverse Holo] #33,$2.49
1287376,Pokemon Unleashed,Minun #34,$3.68
1287472,Pokemon Unleashed,Minun [Reverse Holo] #34,$5.97
1287396,Pokemon Unleashed,Misdreavus #54,$0.50
1287492,Pokemon Unleashed,Misdreavus [Reverse Holo] #54,$4.33
1287347,Pokemon Unleashed,Mismagius #5,$4.55
1287443,Pokemon Unleashed,Mismagius [Reverse Holo] #5,$6.00
1287397,Pokemon Unleashed,Natu #55,$0.48
1287493,Pokemon Unleashed,Natu [Reverse Holo] #55,$3.20
1287362,Pokemon Unleashed,Ninetales #20,$4.34
1287458,Pokemon Unleashed,Ninetales [Reverse Holo] #20,$11.36
1287377,Pokemon Unleashed,Numel #35,$0.53
1287473,Pokemon Unleashed,Numel [Reverse Holo] #35,$2.16
1287348,Pokemon Unleashed,Octillery #6,$3.21
