id,console-name,product-name,loose-price
888454,Pokemon Unseen Forces,Aipom #34,$3.70
888596,Pokemon Unseen Forces,Aipom [Reverse Holo] #34,$19.48
888421,Pokemon Unseen Forces,Ampharos #1,$20.00
888563,Pokemon Unseen Forces,Ampharos [Reverse Holo] #1,$41.00
888422,Pokemon Unseen Forces,Ariados #2,$11.61
888564,Pokemon Unseen Forces,Ariados [Reverse Holo] #2,$14.19
888455,Pokemon Unseen Forces,Bayleef #35,$1.01
888597,Pokemon Unseen Forces,Bayleef [Reverse Holo] #35,$16.36
888423,Pokemon Unseen Forces,Bellossom #3,$17.24
888565,Pokemon Unseen Forces,Bellossom [Reverse Holo] #3,$20.98
888521,Pokemon Unseen Forces,Blissey EX #101,$45.00
888518,Pokemon Unseen Forces,Boost Energy #98,$1.92
888660,Pokemon Unseen Forces,Boost Energy [Reverse Holo] #98,$6.09
2245055,Pokemon Unseen Forces,Booster Box,$13000.00
2245056,Pokemon Unseen Forces,Booster Pack,$788.15
888536,Pokemon Unseen Forces,Celebi EX #117,$372.43
888440,Pokemon Unseen Forces,Chansey #20,$3.82
888582,Pokemon Unseen Forces,Chansey [Reverse Holo] #20,$28.81
888471,Pokemon Unseen Forces,Chikorita #51,$1.53
888613,Pokemon Unseen Forces,Chikorita [Reverse Holo] #51,$19.00
888472,Pokemon Unseen Forces,Chinchou #52,$0.99
888614,Pokemon Unseen Forces,Chinchou [Reverse Holo] #52,$10.40
888456,Pokemon Unseen Forces,Clefable #36,$1.46
888598,Pokemon Unseen Forces,Clefable [Reverse Holo] #36,$16.77
888473,Pokemon Unseen Forces,Clefairy #53,$1.34
888615,Pokemon Unseen Forces,Clefairy [Reverse Holo] #53,$15.01
888441,Pokemon Unseen Forces,Cleffa #21,$12.03
888583,Pokemon Unseen Forces,Cleffa [Reverse Holo] #21,$20.84
888457,Pokemon Unseen Forces,Corsola #37,$1.39
888599,Pokemon Unseen Forces,Corsola [Reverse Holo] #37,$19.91
888458,Pokemon Unseen Forces,Croconaw #38,$2.25
888600,Pokemon Unseen Forces,Croconaw [Reverse Holo] #38,$15.49
888500,Pokemon Unseen Forces,Curse Powder #80,$2.15
888642,Pokemon Unseen Forces,Curse Powder [Reverse Holo] #80,$4.75
888519,Pokemon Unseen Forces,Cyclone Energy #99,$3.67
888661,Pokemon Unseen Forces,Cyclone Energy [Reverse Holo] #99,$10.76
888474,Pokemon Unseen Forces,Cyndaquil #54,$1.00
888616,Pokemon Unseen Forces,Cyndaquil [Reverse Holo] #54,$20.55
888516,Pokemon Unseen Forces,Darkness Energy #96,$3.01
888658,Pokemon Unseen Forces,Darkness Energy [Reverse Holo] #96,$11.11
888475,Pokemon Unseen Forces,Eevee #55,$4.91
888617,Pokemon Unseen Forces,Eevee [Reverse Holo] #55,$47.70
888442,Pokemon Unseen Forces,Electabuzz #22,$1.95
888584,Pokemon Unseen Forces,Electabuzz [Reverse Holo] #22,$29.33
888443,Pokemon Unseen Forces,Elekid #23,$10.00
888585,Pokemon Unseen Forces,Elekid [Reverse Holo] #23,$28.00
888501,Pokemon Unseen Forces,Energy Recycle System #81,$2.10
888643,Pokemon Unseen Forces,Energy Recycle System [Reverse Holo] #81,$4.24
888502,Pokemon Unseen Forces,Energy Removal 2 #82,$0.93
888644,Pokemon Unseen Forces,Energy Removal 2 [Reverse Holo] #82,$4.55
888503,Pokemon Unseen Forces,Energy Root #83,$1.50
888645,Pokemon Unseen Forces,Energy Root [Reverse Holo] #83,$4.74
888514,Pokemon Unseen Forces,Energy Search #94,$2.35
888656,Pokemon Unseen Forces,Energy Search [Reverse Holo] #94,$6.04
888504,Pokemon Unseen Forces,Energy Switch #84,$1.89
888646,Pokemon Unseen Forces,Energy Switch [Reverse Holo] #84,$13.97
888532,Pokemon Unseen Forces,Entei [Gold Star] #113,$553.42
888522,Pokemon Unseen Forces,Espeon EX #102,$266.10
888424,Pokemon Unseen Forces,Feraligatr #4,$39.99
888523,Pokemon Unseen Forces,Feraligatr EX #103,$95.00
888566,Pokemon Unseen Forces,Feraligatr [Reverse Holo] #4,$98.68
888476,Pokemon Unseen Forces,Flaaffy #56,$1.30
888618,Pokemon Unseen Forces,Flaaffy [Reverse Holo] #56,$19.12
888425,Pokemon Unseen Forces,Flareon #5,$44.62
888567,Pokemon Unseen Forces,Flareon [Reverse Holo] #5,$78.32
888505,Pokemon Unseen Forces,Fluffy Berry #85,$2.10
888647,Pokemon Unseen Forces,Fluffy Berry [Reverse Holo] #85,$5.00
888426,Pokemon Unseen Forces,Forretress #6,$15.86
888568,Pokemon Unseen Forces,Forretress [Reverse Holo] #6,$17.20
9420266,Pokemon Unseen Forces,Gilgar [Stamped] #57,$7.49
888477,Pokemon Unseen Forces,Gligar #57,$3.61
888619,Pokemon Unseen Forces,Gligar [Reverse Holo] #57,$11.82
888478,Pokemon Unseen Forces,Gloom #58,$0.51
888620,Pokemon Unseen Forces,Gloom [Reverse Holo] #58,$14.30
888459,Pokemon Unseen Forces,Granbull #39,$2.51
888601,Pokemon Unseen Forces,Granbull [Reverse Holo] #39,$10.00
888444,Pokemon Unseen Forces,Hitmonchan #24,$3.95
888586,Pokemon Unseen Forces,Hitmonchan [Reverse Holo] #24,$20.00
888445,Pokemon Unseen Forces,Hitmonlee #25,$3.25
888587,Pokemon Unseen Forces,Hitmonlee [Reverse Holo] #25,$29.21
888446,Pokemon Unseen Forces,Hitmontop #26,$2.50
888588,Pokemon Unseen Forces,Hitmontop [Reverse Holo] #26,$18.36
888447,Pokemon Unseen Forces,Ho-Oh #27,$6.82
888524,Pokemon Unseen Forces,Ho-Oh EX #104,$86.54
5700095,Pokemon Unseen Forces,Ho-Oh [Cosmos Holo] #27,$17.43
888589,Pokemon Unseen Forces,Ho-Oh [Reverse Holo] #27,$25.18
888479,Pokemon Unseen Forces,Hoothoot #59,$2.59
888621,Pokemon Unseen Forces,Hoothoot [Reverse Holo] #59,$8.00
888427,Pokemon Unseen Forces,Houndoom #7,$25.19
888569,Pokemon Unseen Forces,Houndoom [Reverse Holo] #7,$41.90
888480,Pokemon Unseen Forces,Houndour #60,$1.00
888622,Pokemon Unseen Forces,Houndour [Reverse Holo] #60,$22.75
888428,Pokemon Unseen Forces,Jolteon #8,$31.85
888570,Pokemon Unseen Forces,Jolteon [Reverse Holo] #8,$56.88
888448,Pokemon Unseen Forces,Jynx #28,$2.11
888590,Pokemon Unseen Forces,Jynx [Reverse Holo] #28,$18.99
888460,Pokemon Unseen Forces,Lanturn #40,$0.92
888602,Pokemon Unseen Forces,Lanturn [Reverse Holo] #40,$15.13
888481,Pokemon Unseen Forces,Larvitar #61,$1.14
888623,Pokemon Unseen Forces,Larvitar [Reverse Holo] #61,$18.86
888449,Pokemon Unseen Forces,Lugia #29,$13.67
888525,Pokemon Unseen Forces,Lugia EX #105,$297.50
7746761,Pokemon Unseen Forces,Lugia [Cosmos Holo] #29,$27.22
888591,Pokemon Unseen Forces,Lugia [Reverse Holo] #29,$132.74
5529002,Pokemon Unseen Forces,Lugia [Rocks America] #29,$69.16
888461,Pokemon Unseen Forces,Magcargo #41,$2.07
888603,Pokemon Unseen Forces,Magcargo [Reverse Holo] #41,$17.49
888482,Pokemon Unseen Forces,Mareep #62,$1.18
888625,Pokemon Unseen Forces,Mareep [Reverse Holo] #62,$24.00
888506,Pokemon Unseen Forces,Mary's Request #86,$3.17
888648,Pokemon Unseen Forces,Mary's Request [Reverse Holo] #86,$20.00
888429,Pokemon Unseen Forces,Meganium #9,$5.80
888526,Pokemon Unseen Forces,Meganium EX #106,$34.93
888571,Pokemon Unseen Forces,Meganium [Reverse Holo] #9,$20.00
888517,Pokemon Unseen Forces,Metal Energy #97,$2.45
888659,Pokemon Unseen Forces,Metal Energy [Reverse Holo] #97,$10.49
888462,Pokemon Unseen Forces,Miltank #42,$8.40
888604,Pokemon Unseen Forces,Miltank [Reverse Holo] #42,$38.56
888450,Pokemon Unseen Forces,Murkrow #30,$2.52
888592,Pokemon Unseen Forces,Murkrow [Reverse Holo] #30,$11.95
888483,Pokemon Unseen Forces,Natu #63,$1.15
888624,Pokemon Unseen Forces,Natu [Reverse Holo] #63,$16.59
888463,Pokemon Unseen Forces,Noctowl #43,$1.53
888605,Pokemon Unseen Forces,Noctowl [Reverse Holo] #43,$14.17
888430,Pokemon Unseen Forces,Octillery #10,$6.99
888572,Pokemon Unseen Forces,Octillery [Reverse Holo] #10,$10.48
888484,Pokemon Unseen Forces,Oddish #64,$0.50
888626,Pokemon Unseen Forces,Oddish [Reverse Holo] #64,$20.21
888485,Pokemon Unseen Forces,Onix #65,$1.91
888627,Pokemon Unseen Forces,Onix [Reverse Holo] #65,$18.99
888486,Pokemon Unseen Forces,Pineco #66,$0.84
888628,Pokemon Unseen Forces,Pineco [Reverse Holo] #66,$7.59
888507,Pokemon Unseen Forces,Poke Ball #87,$3.34
888649,Pokemon Unseen Forces,Poke Ball [Reverse Holo] #87,$12.25
888508,Pokemon Unseen Forces,Pokemon Reversal #88,$2.00
888650,Pokemon Unseen Forces,Pokemon Reversal [Reverse Holo] #88,$6.60
888528,Pokemon Unseen Forces,Politoed EX #107,$117.50
888487,Pokemon Unseen Forces,Poliwag #67,$0.77
888629,Pokemon Unseen Forces,Poliwag [Reverse Holo] #67,$14.06
888488,Pokemon Unseen Forces,Poliwhirl #68,$1.10
888630,Pokemon Unseen Forces,Poliwhirl [Reverse Holo] #68,$25.50
888431,Pokemon Unseen Forces,Poliwrath #11,$15.33
888573,Pokemon Unseen Forces,Poliwrath [Reverse Holo] #11,$20.19
888489,Pokemon Unseen Forces,Porygon #69,$1.83
888631,Pokemon Unseen Forces,Porygon [Reverse Holo] #69,$18.97
888432,Pokemon Unseen Forces,Porygon2 #12,$16.41
888574,Pokemon Unseen Forces,Porygon2 [Reverse Holo] #12,$23.40
888515,Pokemon Unseen Forces,Potion #95,$0.55
888657,Pokemon Unseen Forces,Potion [Reverse Holo] #95,$5.99
888509,Pokemon Unseen Forces,Professor Elm's Training Method #89,$1.42
