id,console-name,product-name,loose-price
7286051,Pokemon Vivid Voltage,3-Pack Blister,$40.41
842121,Pokemon Vivid Voltage,Aegislash V #126,$0.99
887715,Pokemon Vivid Voltage,Aegislash V #177,$2.99
842122,Pokemon Vivid Voltage,Aegislash VMAX #127,$1.21
887727,Pokemon Vivid Voltage,Aegislash VMAX #190,$6.52
842160,Pokemon Vivid Voltage,Alakazam V #172,$4.30
2904786,Pokemon Vivid Voltage,Alakazam V Box,$39.99
887631,Pokemon Vivid Voltage,Alcremie #81,$0.77
887805,Pokemon Vivid Voltage,Alcremie [Reverse Holo] #81,$0.77
887686,Pokemon Vivid Voltage,Allister #146,$0.17
887717,Pokemon Vivid Voltage,Allister #179,$5.11
887729,Pokemon Vivid Voltage,Allister #192,$5.19
887857,Pokemon Vivid Voltage,Allister [Reverse Holo] #146,$0.20
887710,Pokemon Vivid Voltage,Ampharos V #171,$5.74
842044,Pokemon Vivid Voltage,Ampharos V #49,$1.29
887701,Pokemon Vivid Voltage,Aromatic Energy #162,$0.20
887873,Pokemon Vivid Voltage,Aromatic Energy [Reverse Holo] #162,$0.40
887596,Pokemon Vivid Voltage,Arrokuda #41,$0.15
887770,Pokemon Vivid Voltage,Arrokuda [Reverse Holo] #41,$0.34
887619,Pokemon Vivid Voltage,Banette #68,$0.51
887792,Pokemon Vivid Voltage,Banette [Reverse Holo] #68,$0.73
887597,Pokemon Vivid Voltage,Barraskewda #42,$0.27
887771,Pokemon Vivid Voltage,Barraskewda [Reverse Holo] #42,$0.26
887687,Pokemon Vivid Voltage,Bea #147,$0.19
887718,Pokemon Vivid Voltage,Bea #180,$6.25
887730,Pokemon Vivid Voltage,Bea #193,$6.00
887858,Pokemon Vivid Voltage,Bea [Reverse Holo] #147,$0.24
887688,Pokemon Vivid Voltage,Beauty #148,$0.11
887719,Pokemon Vivid Voltage,Beauty #181,$3.51
887731,Pokemon Vivid Voltage,Beauty #194,$4.74
887859,Pokemon Vivid Voltage,Beauty [Reverse Holo] #148,$0.26
841998,Pokemon Vivid Voltage,Beedrill #3,$0.18
887740,Pokemon Vivid Voltage,Beedrill [Reverse Holo] #3,$0.74
887663,Pokemon Vivid Voltage,Beldum #116,$0.10
887834,Pokemon Vivid Voltage,Beldum [Reverse Holo] #116,$0.19
887605,Pokemon Vivid Voltage,Blitzle #53,$0.11
887778,Pokemon Vivid Voltage,Blitzle [Reverse Holo] #53,$0.37
2189391,Pokemon Vivid Voltage,Booster Box,$246.90
2189390,Pokemon Vivid Voltage,Booster Pack,$7.40
10619391,Pokemon Vivid Voltage,Build & Battle Box,$49.07
11310922,Pokemon Vivid Voltage,Build & Battle Display Box,$550.00
