id,console-name,product-name,loose-price
10026627,Pokemon White Flare,Accelgor #9,$0.09
10026722,Pokemon White Flare,Accelgor #94,$9.81
10026989,Pokemon White Flare,Accelgor [Master Ball] #9,$2.79
10026898,Pokemon White Flare,Accelgor [Poke Ball] #9,$0.46
10026847,Pokemon White Flare,Accelgor [Reverse] #9,$0.09
10026697,Pokemon White Flare,Antique Plume Fossil #79,$0.07
10026963,Pokemon White Flare,Antique Plume Fossil [Poke Ball] #79,$1.50
10026875,Pokemon White Flare,Antique Plume Fossil [Reverse] #79,$0.10
10026765,Pokemon White Flare,Archen #131,$5.47
10026668,Pokemon White Flare,Archen #50,$0.12
10027033,Pokemon White Flare,Archen [Master Ball] #50,$5.00
10026936,Pokemon White Flare,Archen [Poke Ball] #50,$0.57
10026825,Pokemon White Flare,Archen [Reverse] #50,$0.32
10026766,Pokemon White Flare,Archeops #132,$6.09
10026669,Pokemon White Flare,Archeops #51,$0.25
10027034,Pokemon White Flare,Archeops [Master Ball] #51,$3.69
10026937,Pokemon White Flare,Archeops [Poke Ball] #51,$0.49
10026826,Pokemon White Flare,Archeops [Reverse] #51,$0.16
10026721,Pokemon White Flare,Basculin #108,$4.99
10026642,Pokemon White Flare,Basculin #24,$0.05
10027008,Pokemon White Flare,Basculin [Master Ball] #24,$2.29
10026912,Pokemon White Flare,Basculin [Poke Ball] #24,$0.41
10026878,Pokemon White Flare,Basculin [Reverse] #24,$0.05
10023934,Pokemon White Flare,Binder Collection,$49.00
10026739,Pokemon White Flare,Blitzle #114,$5.78
10026649,Pokemon White Flare,Blitzle #31,$0.08
10027014,Pokemon White Flare,Blitzle [Master Ball] #31,$2.82
10026918,Pokemon White Flare,Blitzle [Poke Ball] #31,$0.35
10026786,Pokemon White Flare,Blitzle [Reverse] #31,$0.10
10026760,Pokemon White Flare,Boldore #128,$4.61
10026665,Pokemon White Flare,Boldore #47,$0.10
10027030,Pokemon White Flare,Boldore [Master Ball] #47,$3.92
10026934,Pokemon White Flare,Boldore [Poke Ball] #47,$0.47
10026818,Pokemon White Flare,Boldore [Reverse] #47,$0.05
10023935,Pokemon White Flare,Booster Bundle,$51.17
11551168,Pokemon White Flare,Booster Bundle Display Box,$621.88
10023937,Pokemon White Flare,Booster Pack,$9.50
10026810,Pokemon White Flare,Bouffalant ex #162,$0.97
10026828,Pokemon White Flare,Bouffalant ex #170,$15.53
10026695,Pokemon White Flare,Bouffalant ex #77,$1.49
10026698,Pokemon White Flare,Brave Bangle #80,$0.67
10026964,Pokemon White Flare,Brave Bangle [Poke Ball] #80,$1.72
10026880,Pokemon White Flare,Brave Bangle [Reverse] #80,$0.92
10026710,Pokemon White Flare,Chandelure #103,$35.78
10026637,Pokemon White Flare,Chandelure #18,$0.36
10027002,Pokemon White Flare,Chandelure [Master Ball] #18,$8.99
10026907,Pokemon White Flare,Chandelure [Poke Ball] #18,$1.61
10026871,Pokemon White Flare,Chandelure [Reverse] #18,$2.15
10026699,Pokemon White Flare,Cheren #81,$0.19
10026965,Pokemon White Flare,Cheren [Poke Ball] #81,$2.09
10026883,Pokemon White Flare,Cheren [Reverse] #81,$0.17
10026753,Pokemon White Flare,Cofagrigus #123,$13.77
10026658,Pokemon White Flare,Cofagrigus #40,$0.25
10027023,Pokemon White Flare,Cofagrigus [Master Ball] #40,$5.32
10026926,Pokemon White Flare,Cofagrigus [Poke Ball] #40,$0.51
10026805,Pokemon White Flare,Cofagrigus [Reverse] #40,$0.14
10026621,Pokemon White Flare,Cottonee #4,$0.07
10026712,Pokemon White Flare,Cottonee #90,$5.04
10026984,Pokemon White Flare,Cottonee [Master Ball] #4,$4.56
10026894,Pokemon White Flare,Cottonee [Poke Ball] #4,$0.34
10026839,Pokemon White Flare,Cottonee [Reverse] #4,$0.25
10026624,Pokemon White Flare,Deerling #6,$0.10
10026713,Pokemon White Flare,Deerling #91,$12.00
10026985,Pokemon White Flare,Deerling [Master Ball] #6,$2.38
10026895,Pokemon White Flare,Deerling [Poke Ball] #6,$0.30
10026842,Pokemon White Flare,Deerling [Reverse] #6,$0.11
10026782,Pokemon White Flare,Deino #146,$10.05
10026683,Pokemon White Flare,Deino #65,$0.09
10027047,Pokemon White Flare,Deino [Master Ball] #65,$3.08
10026951,Pokemon White Flare,Deino [Poke Ball] #65,$0.99
10026855,Pokemon White Flare,Deino [Reverse] #65,$0.20
10026715,Pokemon White Flare,Dewott #106,$11.94
10026640,Pokemon White Flare,Dewott #22,$0.09
10027005,Pokemon White Flare,Dewott [Master Ball] #22,$2.57
10026910,Pokemon White Flare,Dewott [Poke Ball] #22,$0.65
10026876,Pokemon White Flare,Dewott [Reverse] #22,$0.10
10026790,Pokemon White Flare,Druddigon #151,$10.40
10026689,Pokemon White Flare,Druddigon #71,$0.26
10026972,Pokemon White Flare,Druddigon [Master Ball] #71,$2.25
10026956,Pokemon White Flare,Druddigon [Poke Ball] #71,$0.46
10026862,Pokemon White Flare,Druddigon [Reverse] #71,$0.20
10026725,Pokemon White Flare,Ducklett #109,$14.00
10026643,Pokemon White Flare,Ducklett #25,$0.08
10027009,Pokemon White Flare,Ducklett [Master Ball] #25,$2.00
10026913,Pokemon White Flare,Ducklett [Poke Ball] #25,$0.38
10026879,Pokemon White Flare,Ducklett [Reverse] #25,$0.09
10026787,Pokemon White Flare,Durant #150,$5.00
10026688,Pokemon White Flare,Durant #70,$0.25
10026971,Pokemon White Flare,Durant [Master Ball] #70,$5.22
10026955,Pokemon White Flare,Durant [Poke Ball] #70,$0.59
