id,console-name,product-name,loose-price
6400072,Pokemon World Championships 2023,Archeops #147,$3.12
10604833,Pokemon World Championships 2023,Artazon #171,$2.82
9908953,Pokemon World Championships 2023,Basic Lightning Energy #4,$0.99
10604823,Pokemon World Championships 2023,Basic Psychic Energy #5,
10604860,Pokemon World Championships 2023,Basic Water Energy #3,$1.00
10604831,Pokemon World Championships 2023,Battle VIP Pass #225,$2.90
6400081,Pokemon World Championships 2023,Boss’s Orders #172,$0.50
6400083,Pokemon World Championships 2023,Capturing Aroma #153,$1.85
6400087,Pokemon World Championships 2023,Choice Belt #176,$1.41
6400086,Pokemon World Championships 2023,Collapsed Stadium #137,$2.36
10604852,Pokemon World Championships 2023,Cresselia #74,$3.69
12001529,Pokemon World Championships 2023,Double Turbo Energy #151,
6400065,Pokemon World Championships 2023,Drapion V #118,$2.59
10079979,Pokemon World Championships 2023,Elesa's Sparkle #233,$2.02
9994513,Pokemon World Championships 2023,Energy Recycler #124,$0.50
10604827,Pokemon World Championships 2023,Fog Crystal #140,
10604825,Pokemon World Championships 2023,Forest Seal Stone #156,$1.32
8740495,Pokemon World Championships 2023,"Gabriel Fernandez, Colorless Lugia",
6657790,Pokemon World Championships 2023,Gallade #84,
10604858,Pokemon World Championships 2023,Gardevoir #61,$4.92
10604859,Pokemon World Championships 2023,Gardevoir ex #86,$3.78
10656112,Pokemon World Championships 2023,Genesect V #185,$1.17
6400080,Pokemon World Championships 2023,Iono #185,$3.56
11748529,Pokemon World Championships 2023,Jet Energy [Gabriel Fernandez] #190,$0.50
10604856,Pokemon World Championships 2023,Kirlia #60,$3.69
10604854,Pokemon World Championships 2023,Kirlia #68,$3.61
10604830,Pokemon World Championships 2023,Level Ball #129,$1.54
10604824,Pokemon World Championships 2023,Lost Vacuum #162,$2.95
6400074,Pokemon World Championships 2023,Lugia V #138,$5.50
6400077,Pokemon World Championships 2023,Lumineon V #40,$2.34
10604853,Pokemon World Championships 2023,Manaphy #41,$0.50
10604857,Pokemon World Championships 2023,Mew #11,
10604826,Pokemon World Championships 2023,Pal Pad #182,$3.69
6400084,Pokemon World Championships 2023,Path to the Peak #148,$2.41
6400078,Pokemon World Championships 2023,Professor Burnet #SWSH167,$2.04
10604832,Pokemon World Championships 2023,Professor's Research #189,$0.50
6400079,Pokemon World Championships 2023,Professor’s Research #190,$1.80
6400069,Pokemon World Championships 2023,Pumpkaboo #76,$6.46
6659116,Pokemon World Championships 2023,Radiant Greninja #46,$4.86
6400066,Pokemon World Championships 2023,Radiant Tsareena #16,$1.91
11952162,Pokemon World Championships 2023,Raikou V #48,
10604855,Pokemon World Championships 2023,Ralts #60,$2.82
7880747,Pokemon World Championships 2023,Ralts #67,$2.45
10604829,Pokemon World Championships 2023,Rare Candy #191,$2.82
10604834,Pokemon World Championships 2023,Reversal Energy #192,$2.82
8740493,Pokemon World Championships 2023,"Shao Tong Yen, Lost Box Kyogre",
6400070,Pokemon World Championships 2023,Slaking V #58,$2.53
6400073,Pokemon World Championships 2023,Snorlax #143,$5.92
7306491,Pokemon World Championships 2023,Super Rod #188,$1.56
8740638,Pokemon World Championships 2023,Tord Reklev: Psychic Elegance World,$3.21
10604828,Pokemon World Championships 2023,Ultra Ball #196,$2.66
8740466,Pokemon World Championships 2023,Vance Kelley: Mew's Revenge,$22.00
6400067,Pokemon World Championships 2023,Wyrdeer V #134,$1.61
10604835,Pokemon World Championships 2023,Zacian V #16,$5.14
