id,console-name,product-name,loose-price
7274735,Pokemon XY,3-Pack Blister,$167.49
806581,Pokemon XY,Aegislash #85,$0.71
886720,Pokemon XY,Aegislash #86,$1.52
5529001,Pokemon XY,Aegislash [Pre-Release] #86,$10.71
9057320,Pokemon XY,Aegislash [Regional Championship Staff] #85,$39.99
806705,Pokemon XY,Aegislash [Reverse Holo] #85,$1.15
886731,Pokemon XY,Aegislash [Reverse Holo] #86,$1.57
806546,Pokemon XY,Arbok #48,$0.75
806670,Pokemon XY,Arbok [Reverse Holo] #48,$2.53
806586,Pokemon XY,Aromatisse #93,$2.62
806710,Pokemon XY,Aromatisse [Reverse Holo] #93,$2.99
10022991,Pokemon XY,Ash Greninja EX Collection Box,$481.20
10488329,Pokemon XY,BREAK Evolution Box: Arcanine,
806503,Pokemon XY,Beedrill #5,$0.87
806627,Pokemon XY,Beedrill [Reverse Holo] #5,$1.37
806600,Pokemon XY,Bibarel #107,$0.67
806724,Pokemon XY,Bibarel [Reverse Holo] #107,$0.79
806599,Pokemon XY,Bidoof #106,$0.21
806723,Pokemon XY,Bidoof [Reverse Holo] #106,$1.65
806579,Pokemon XY,Bisharp #82,$0.48
806702,Pokemon XY,Bisharp [Reverse Holo] #82,$0.54
886724,Pokemon XY,Blastoise EX #142,$53.00
806527,Pokemon XY,Blastoise EX #29,$4.86
806651,Pokemon XY,Blastoise EX [Reverse Holo] #29,$6.31
2244993,Pokemon XY,Booster Box,$2911.00
2244994,Pokemon XY,Booster Pack,$24.79
806522,Pokemon XY,Braixen #25,$0.42
806647,Pokemon XY,Braixen [Reverse Holo] #25,$1.17
806604,Pokemon XY,Bunnelby #111,$0.20
806728,Pokemon XY,Bunnelby [Reverse Holo] #111,$0.70
806608,Pokemon XY,Cassius #115,$0.35
806732,Pokemon XY,Cassius [Reverse Holo] #115,$0.83
806511,Pokemon XY,Chesnaught #14,$2.60
806636,Pokemon XY,Chesnaught [Reverse Holo] #14,$2.48
806509,Pokemon XY,Chespin #12,$0.72
806634,Pokemon XY,Chespin [Reverse Holo] #12,$1.05
806530,Pokemon XY,Cloyster #32,$0.78
806654,Pokemon XY,Cloyster [Reverse Holo] #32,$1.30
806565,Pokemon XY,Conkeldurr #67,$0.75
806689,Pokemon XY,Conkeldurr [Reverse Holo] #67,$0.97
806534,Pokemon XY,Corsola #36,$0.30
806658,Pokemon XY,Corsola [Reverse Holo] #36,$0.70
6518340,Pokemon XY,Darkness Energy #138,$0.99
806598,Pokemon XY,Delcatty #105,$0.29
806722,Pokemon XY,Delcatty [Reverse Holo] #105,$0.95
806523,Pokemon XY,Delphox #26,$1.88
6390603,Pokemon XY,Delphox [Cosmos Holo] #26,$2.18
806648,Pokemon XY,Delphox [Reverse Holo] #26,$2.32
806605,Pokemon XY,Diggersby #112,$0.23
806729,Pokemon XY,Diggersby [Reverse Holo] #112,$0.55
806556,Pokemon XY,Diglett #58,$0.37
806680,Pokemon XY,Diglett [Reverse Holo] #58,$1.49
806592,Pokemon XY,Dodrio #99,$0.34
806716,Pokemon XY,Dodrio [Reverse Holo] #99,$0.62
806591,Pokemon XY,Doduo #98,$0.16
806715,Pokemon XY,Doduo [Reverse Holo] #98,$0.74
806580,Pokemon XY,Doublade #84,$0.36
9123359,Pokemon XY,Doublade [Regional Championship Staff] #84,$17.12
10259736,Pokemon XY,Doublade [Regional Championship] #84,$9.14
806704,Pokemon XY,Doublade [Reverse Holo] #84,$0.69
806623,Pokemon XY,Double Colorless Energy #130,$0.70
806747,Pokemon XY,Double Colorless Energy [Reverse Holo] #130,$1.98
806557,Pokemon XY,Dugtrio #59,$0.51
806681,Pokemon XY,Dugtrio [Reverse Holo] #59,$0.74
806594,Pokemon XY,Dunsparce #101,$0.29
806718,Pokemon XY,Dunsparce [Reverse Holo] #101,$1.44
806545,Pokemon XY,Ekans #47,$0.25
806669,Pokemon XY,Ekans [Reverse Holo] #47,$1.25
806543,Pokemon XY,Electrode #45,$0.25
806667,Pokemon XY,Electrode [Reverse Holo] #45,$0.99
5807283,Pokemon XY,Elite Trainer Box [Xerneas],$3628.00
6345890,Pokemon XY,Elite Trainer Box [Yveltal],$7006.44
886725,Pokemon XY,Emolga EX #143,$17.70
806544,Pokemon XY,Emolga EX #46,$6.75
806668,Pokemon XY,Emolga EX [Reverse Holo] #46,$2.97
806609,Pokemon XY,Evosoda #116,$1.02
806733,Pokemon XY,Evosoda [Reverse Holo] #116,$4.26
2775130,Pokemon XY,Fairy Energy #140,$0.85
806610,Pokemon XY,Fairy Garden #117,$0.30
806734,Pokemon XY,Fairy Garden [Reverse Holo] #117,$0.71
806521,Pokemon XY,Fennekin #24,$0.29
806646,Pokemon XY,Fennekin [Reverse Holo] #24,$0.57
2775140,Pokemon XY,Fighting Energy #137,$0.88
2775137,Pokemon XY,Fire Energy #133,$0.76
806524,Pokemon XY,Fletchinder #27,$0.49
806649,Pokemon XY,Fletchinder [Reverse Holo] #27,$0.56
806606,Pokemon XY,Fletchling #113,$0.23
806730,Pokemon XY,Fletchling [Reverse Holo] #113,$1.25
806537,Pokemon XY,Froakie #39,$0.29
806661,Pokemon XY,Froakie [Reverse Holo] #39,$2.26
